Entities,Start_index,End_index,Label,Doc_ID,title,description,date,transcriber name,transcript status
Police Athletic League,5,27,ORG,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",1977-06-22,Ellen Noonan,Finished
Connie Ford,118,129,PERSON,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",1977-06-22,Ellen Noonan,Finished
PAL,157,160,ORG,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",1977-06-22,Ellen Noonan,Finished
the WNBC Community Affairs Department,341,378,ORG,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",1977-06-22,Ellen Noonan,Finished
the Institute of Afro-American Affairs,400,438,ORG,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",1977-06-22,Ellen Noonan,Finished
New York University,442,461,ORG,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",1977-06-22,Ellen Noonan,Finished
Roscoe C. Brown,535,550,PERSON,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",1977-06-22,Ellen Noonan,Finished
the Institute of Afro-American Affairs,572,610,ORG,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",1977-06-22,Ellen Noonan,Finished
New York University,614,633,ORG,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",1977-06-22,Ellen Noonan,Finished
Connie Ford,660,671,PERSON,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",1977-06-22,Ellen Noonan,Finished
